,date,country,state,city,ibgeID,newDeaths,deaths,newCases,totalCases,deaths_per_100k_inhabitants,totalCases_per_100k_inhabitants,deaths_by_totalCases,_source,cCFR,cum_subn,newCases_regression,real_newCases,Re,Re_ub,Re_lb
10,2020-03-30,Brazil,MA,São Luís/MA,2111300,0,1,9,30,0.09075,2.72261,0.03333,SES,0.026983491092575324,0.24348220834211393,9.097709798557995,29,0.0,0.0,0.0
11,2020-03-31,Brazil,MA,São Luís/MA,2111300,0,1,21,51,0.09075,4.62844,0.01961,SES,0.026983491092575324,0.24348220834211393,10.760080542049039,41,0.0,0.0,0.0
12,2020-04-01,Brazil,MA,São Luís/MA,2111300,0,1,17,68,0.09075,6.17125,0.014709999999999999,SES,0.026983491092575324,0.24348220834211393,12.65322506704232,41,0.0,0.0,0.0
13,2020-04-02,Brazil,MA,São Luís/MA,2111300,0,1,10,78,0.09075,7.07879,0.012819999999999998,SES,0.026983491092575324,0.24348220834211393,14.795535929070029,52,2.4472573118422534,2.6949159867049373,2.1865008633540874
14,2020-04-03,Brazil,MA,São Luís/MA,2111300,0,1,4,82,0.09075,7.4418,0.0122,SES,0.026983491092575324,0.24348220834211393,17.20463306901394,64,2.3396431909962185,2.5901375323188938,2.101957694843686
15,2020-04-04,Brazil,MA,São Luís/MA,2111300,1,2,4,86,0.18151,7.804810000000001,0.02326,SES,0.026983491092575324,0.24348220834211393,19.89696623676027,74,2.2994683533184705,2.5320017070208323,2.0906017386419546
16,2020-04-05,Brazil,MA,São Luís/MA,2111300,0,2,35,121,0.18151,10.98119,0.01653,SES,0.026983491092575324,0.24348220834211393,22.88740394976695,80,2.192999873272177,2.3878207190426175,2.0212745060500836
17,2020-04-06,Brazil,MA,São Luís/MA,2111300,2,4,31,152,0.36301,13.79456,0.02632,SES,0.026983491092575324,0.24348220834211393,26.188819277325376,94,2.129747343457914,2.3193030538922637,1.9703978870945482
18,2020-04-07,Brazil,MA,São Luís/MA,2111300,7,11,51,203,0.99829,18.42299,0.054189999999999995,SES,0.02785290763583066,0.2358820158347918,29.811683628040566,144,2.188873656691128,2.367534539144546,2.037681464238373
19,2020-04-08,Brazil,MA,São Luís/MA,2111300,0,11,25,228,0.99829,20.69183,0.04825,SES,0.0294024789354911,0.22345054695607636,33.76368023263562,177,2.2642936687802186,2.414259719014372,2.098812716893488
20,2020-04-09,Brazil,MA,São Luís/MA,2111300,3,14,19,247,1.27055,22.41615,0.056679999999999994,SES,0.031504566301212324,0.20854119803411422,38.0493491148415,256,2.4541969101743364,2.600731701366449,2.309479460584738
21,2020-04-10,Brazil,MA,São Luís/MA,2111300,5,19,41,288,1.72432,26.13705,0.06597,SES,0.03319607877403285,0.19791494184365196,42.66977500665881,291,2.601553151803344,2.750676282394868,2.451738848821783
22,2020-04-11,Brazil,MA,São Luís/MA,2111300,3,22,45,333,1.99658,30.22097,0.06607,SES,0.03599671318786747,0.18251666383291876,47.62232888784404,343,2.665927381529471,2.7938587691410888,2.550267314055523
23,2020-04-12,Brazil,MA,São Luís/MA,2111300,3,25,36,369,2.26884,33.4881,0.06775,SES,0.03700904569768567,0.17752416675825958,52.90047263124392,328,2.5761364574745604,2.6792099283884254,2.476406386521807
24,2020-04-13,Brazil,MA,São Luís/MA,2111300,5,30,23,392,2.72261,35.57543,0.07653,SES,0.03719770280740371,0.17662381018572815,58.49363465410941,318,2.3730263708206523,2.482462747725336,2.267526725355924
25,2020-04-14,Brazil,MA,São Luís/MA,2111300,2,32,141,533,2.9041200000000003,48.3717,0.060039999999999996,SES,0.038686640149115416,0.16982606850003815,64.38716256789426,481,2.28466920900682,2.3789891258666573,2.1968901732370787
26,2020-04-15,Brazil,MA,São Luís/MA,2111300,2,34,49,582,3.08562,52.818630000000006,0.05842000000000001,SES,0.04028528323659802,0.1630868513797948,70.56235665809221,577,2.2326905237888175,2.3122458478448618,2.1540875535001938
27,2020-04-16,Brazil,MA,São Luís/MA,2111300,1,35,82,664,3.17638,60.26043000000001,0.05271,SES,0.04198858255855269,0.1564711071358076,76.99658569615976,632,2.1937357394953487,2.262103403023621,2.1256239963762993
28,2020-04-17,Brazil,MA,São Luís/MA,2111300,3,38,198,862,3.44864,78.22965,0.04408,SES,0.04310491949315208,0.15241879760484767,83.66348417983296,625,2.128288606167206,2.188528565545745,2.0693203278990406
29,2020-04-18,Brazil,MA,São Luís/MA,2111300,2,40,128,990,3.63015,89.84612,0.0404,SES,0.043179727139496325,0.15215473638300153,90.53322771131224,649,2.0379430945888903,2.09338571471996,1.9869832002501129
30,2020-04-19,Brazil,MA,São Luís/MA,2111300,3,43,85,1075,3.9024099999999997,97.56018,0.04,SES,0.04534483481130644,0.14488971075404192,97.57288094804498,972,2.0334871938823595,2.085137279866322,1.9815518738098679
31,2020-04-20,Brazil,MA,São Luís/MA,2111300,4,47,57,1132,4.26542,102.73314,0.04152,SES,0.04637209536300401,0.14168003297175985,104.7468104848292,908,1.964927779702304,2.0124733690775485,1.9191592403456093
32,2020-04-21,Brazil,MA,São Luís/MA,2111300,4,51,168,1300,4.62844,117.97975,0.03923,SES,0.04803331610044938,0.13678006295173392,112.01715322481488,1054,1.9157208075910475,1.9620799975367123,1.8765923984029211
33,2020-04-22,Brazil,MA,São Luís/MA,2111300,10,61,117,1417,5.53597,128.59793,0.04305,SES,0.049390159817459055,0.1330224486877962,119.34432933291224,1116,1.8491165791513324,1.8915462238082068,1.8046031367816142
34,2020-04-23,Brazil,MA,São Luís/MA,2111300,10,71,150,1567,6.44351,142.21098,0.04531,SES,0.05089043450460677,0.12910088239480963,126.68758778402066,1373,1.8176936066274785,1.8527005505491942,1.78248104136121
35,2020-04-24,Brazil,MA,São Luís/MA,2111300,10,81,101,1668,7.35105,151.3771,0.04856,SES,0.05151856105703588,0.1275268537241635,134.00557184850055,1194,1.731892471743018,1.767101912866578,1.6949980831037526
36,2020-04-25,Brazil,MA,São Luís/MA,2111300,6,87,86,1754,7.895569999999999,159.18191000000002,0.0496,SES,0.05257952150738815,0.12495359051673424,141.2568916082488,1389,1.6803969032068267,1.7101257026830183,1.6491245370671015
37,2020-04-26,Brazil,MA,São Luís/MA,2111300,11,98,140,1894,8.89386,171.88742,0.051739999999999994,SES,0.05390176453442888,0.12188840303740926,148.40069076070955,1651,1.6650181568665696,1.6950635745389553,1.6378566967646042
38,2020-04-27,Brazil,MA,São Luís/MA,2111300,18,116,83,1977,10.52742,179.41998,0.05867000000000001,SES,0.054498571136517335,0.12055361935164027,155.39719552083753,1501,1.6058021343989912,1.631633484719337,1.577564184658356
39,2020-04-28,Brazil,MA,São Luís/MA,2111300,20,136,172,2149,12.3425,195.0296,0.06329,SES,0.05467756998165733,0.12015896101827563,162.20823433385112,1382,1.528473753095926,1.5545087298045024,1.5044087954489287
40,2020-04-29,Brazil,MA,São Luís/MA,2111300,13,149,283,2432,13.52229,220.71289,0.061270000000000005,SES,0.055536343340097084,0.11830091080657229,168.79771831432862,1697,1.4814634452975917,1.5053147653223995,1.4580138271296552
41,2020-04-30,Brazil,MA,São Luís/MA,2111300,16,165,239,2671,14.97435,242.40301000000002,0.061770000000000005,SES,0.0568164043580649,0.11563561746348722,175.13207377102344,1979,1.460952603846341,1.4839909548520833,1.4366721436826015
42,2020-05-01,Brazil,MA,São Luís/MA,2111300,13,178,137,2808,16.15415,254.83626,0.06339,SES,0.057751290689846996,0.11376369119236054,181.18061979750794,1974,1.4430421619763119,1.4632242109922382,1.4223290554136558
43,2020-05-02,Brazil,MA,São Luís/MA,2111300,8,186,91,2899,16.88018,263.09484,0.06416000000000001,SES,0.059602733263996004,0.1102298441734167,186.91588564004,2453,1.4428869416523744,1.4625295999986574,1.4232863862370337
