Si,Sj,Ei,Ej,Ii,Ij,Ri,Rj,Hi,Hj,Ui,Uj,Mi,Mj
5598799.818659276,22405582.767854005,2.0055507470218866e-06,8.025922467842557e-06,9.345334462117926e-06,3.739866963745152e-05,36401200.18132941,145594417.23210067,3.043270110642387e-06,7.131268320292341e-06,8.418217364039884e-07,1.4234569783329469e-06,3.3697563847333927e-08,7.932514743818854e-09
5598799.818658989,22405582.767852858,1.891075711834166e-06,7.567810022528218e-06,8.81191116531051e-06,3.5263987167274876e-05,36401200.18133034,145594417.2321044,2.8695629872162536e-06,6.724221932275072e-06,7.937713082477003e-07,1.3422073332915524e-06,3.1774137171200954e-08,7.479733927490305e-09
5598799.818658719,22405582.767851777,1.783134808829683e-06,7.1358462241006134e-06,8.308935191146293e-06,3.3251150455053036e-05,36401200.18133122,145594417.2321079,2.7057709102810927e-06,6.340409386264806e-06,7.484635553332273e-07,1.2655953449456715e-06,2.996049796205574e-08,7.052797433454975e-09
5598799.818658464,22405582.767850757,1.6813550756125927e-06,6.72853853128303e-06,7.8346686337976e-06,3.135320465436786e-05,36401200.18133205,145594417.23211125,2.5513279378969935e-06,5.978504515447398e-06,7.05741928224679e-07,1.1933563000224868e-06,2.82503796498974e-08,6.650230091010608e-09
5598799.818658223,22405582.767849796,1.5853848381455983e-06,6.3444795957141815e-06,7.3874727855403594e-06,2.9563591895187676e-05,36401200.181332834,145594417.23211437,2.405700431580914e-06,5.637256849417576e-06,6.654588131870433e-07,1.1252405948445043e-06,2.6637873354911847e-08,6.270640930873572e-09
5598799.818657997,22405582.76784889,1.494892495629566e-06,5.982342399213113e-06,6.965802474615443e-06,2.7876128624811745e-05,36401200.18133357,145594417.23211733,2.2683852124544445e-06,5.3154872934960705e-06,6.274750221444341e-07,1.0610128728874707e-06,2.5117407470837226e-08,5.912718379037535e-09
5598799.818657784,22405582.767848033,1.4095653747411218e-06,5.640875668604671e-06,6.568200726279812e-06,2.6284984242173194e-05,36401200.181334265,145594417.23212013,2.138907822636996e-06,5.0120840546674245e-06,5.916593117510618e-07,1.0004512115657066e-06,2.3683728413692508e-08,5.575225724962349e-09
5598799.818657583,22405582.76784723,1.3291086492693366e-06,5.318899552262602e-06,6.193293728600055e-06,2.4784660951676808e-05,36401200.18133492,145594417.23212275,2.016820885877095e-06,4.725998800061602e-06,5.578879299131982e-07,9.433463554349976e-07,2.2331882469351362e-08,5.2569968484346395e-09
5598799.818657393,22405582.76784647,1.2532443214185781e-06,5.015301543431699e-06,5.8397860855939164e-06,2.3369974766961646e-05,36401200.18133554,145594417.23212522,1.9017025617573692e-06,4.456243034706006e-06,5.260441881952593e-07,8.895009931635734e-07,2.105719867724019e-08,4.9569321903353616e-09
5598799.818657214,22405582.767845754,1.1817102612576824e-06,4.72903263624305e-06,5.50645634131824e-06,2.2036037598951822e-05,36401200.18133612,145594417.23212755,1.7931550881321178e-06,4.2018846860321425e-06,4.960180586325614e-07,8.387290757729297e-07,1.985527269101932e-08,4.67399495339233e-09
5598799.818657045,22405582.76784508,1.114259300996502e-06,4.4591037011404906e-06,5.192152759437953e-06,2.077824036630525e-05,36401200.18133667,145594417.23212975,1.6908034067612336e-06,3.962044883335571e-06,4.6770579355764217e-07,7.908551737928489e-07,1.872195156048202e-08,4.407207519790365e-09
5598799.818656886,22405582.767844442,1.0506583809603375e-06,4.204582067194451e-06,4.895789343693458e-06,1.9592237069902824e-05,36401200.18133719,145594417.23213184,1.5942938673917015e-06,3.73589492106138e-06,4.410095671265523e-07,7.457138711094329e-07,1.7653319382089044e-08,4.1556480732610505e-09
5598799.818656736,22405582.767843843,9.906877443113787e-07,3.964588299494267e-06,4.61634208551618e-06,1.847392977635143e-05,36401200.181337684,145594417.2321338,1.5032930058089582e-06,3.5226533954225858e-06,4.158371373065025e-07,7.03149193411742e-07,1.664568376855776e-08,3.9184474139805644e-09
5598799.8186565945,22405582.767843276,9.341401777347249e-07,3.738293160484036e-06,4.352845425826837e-06,1.7419454458615143e-05,36401200.18133815,145594417.23213565,1.417486391635979e-06,3.321583504457781e-06,3.9210152715695113e-07,6.630140692621857e-07,1.569556309075501e-08,3.6947859552702863e-09
5598799.818656461,22405582.767842744,8.808202954653641e-07,3.5249147447427e-06,4.104388918791098e-06,1.6425167644850434e-05,36401200.18133858,145594417.23213738,1.336577541898956e-06,3.131990502199058e-06,3.697207243028796e-07,6.251698219285275e-07,1.4799674447811248e-08,3.483890891723029e-09
5598799.818656336,22405582.76784224,8.305438641822492e-07,3.3237157773082997e-06,3.870114086005061e-06,1.548763382931393e-05,36401200.18133899,145594417.23213902,1.2602868966056677e-06,2.9532192981537334e-06,3.4861739756186235e-07,5.89485690221663e-07,1.3954922323889735e-08,3.285033528970087e-09
5598799.818656217,22405582.767841764,7.831371664368141e-07,3.1340010662114595e-06,3.649211450241005e-06,1.4603613601844198e-05,36401200.181339376,145594417.23214057,1.1883508527969137e-06,2.7846521938054956e-06,3.2871862974580827e-07,5.558383766835434e-07,1.315838789241721e-08,3.0975267658627863e-09
5598799.818656106,22405582.767841317,7.38436400416418e-07,2.9551151004159724e-06,3.4409177385042672e-06,1.377005245490207e-05,36401200.18133974,145594417.23214203,1.1205208537334247e-06,2.625706748314029e-06,3.0995566571413756e-07,5.241116215641264e-07,1.2407318930819418e-08,2.9207227203688398e-09
5598799.818656,22405582.767840896,6.962871139687533e-07,2.786439784866776e-06,3.2445132447371243e-06,1.2984070229495059e-05,36401200.18134008,145594417.2321434,1.056562530071161e-06,2.4758337660385815e-06,2.922636748078564e-07,4.94195801115338e-07,1.1699120310914509e-08,2.7540104909804146e-09
5598799.818655901,22405582.767840497,6.565436709316324e-07,2.6273923048193566e-06,3.0593193430571625e-06,1.2242951163518908e-05,36401200.18134041,145594417.2321447,9.96254890057554e-07,2.3345153989318743e-06,2.755815268436803e-07,4.659875488140534e-07,1.1031345032106223e-08,2.5968140458990117e-09
5598799.818655807,22405582.76784012,6.190687479241896e-07,2.4774231120713144e-06,2.8846961429377725e-06,1.1544134508130889e-05,36401200.18134072,145594417.23214594,9.393895559506171e-07,2.2012633572476614e-06,2.5985158089421125e-07,4.393893982053283e-07,1.0401685766394353e-08,2.448590232703782e-09
5598799.818655718,22405582.767839767,5.83732859860791e-07,2.3360140261380206e-06,2.720040278228833e-06,1.0885205679732064e-05,36401200.18134101,145594417.2321471,8.857700440225655e-07,2.075617222379489e-06,2.450194861243519e-07,4.1430944613181724e-07,9.807966885988428e-09,2.308826901626178e-09
5598799.818655634,22405582.76783943,5.504139125481829e-07,2.2026764438114613e-06,2.564782822378108e-06,1.0263887916986462e-05,36401200.18134128,145594417.2321482,8.352110856601821e-07,1.9571428560011006e-06,2.310339939957977e-07,3.9066103518575287e-07,9.248136945978034e-09,2.177041135946413e-09
5598799.818655556,22405582.767839115,5.189967808199932e-07,2.0769496509158564e-06,2.418387322649934e-06,9.678034414050109e-06,36401200.18134154,145594417.2321492,7.875379872161632e-07,1.845430900011677e-06,2.1784678119072755e-07,3.6836245428628047e-07,8.720261596085568e-09,2.0527775833972924e-09
5598799.818655482,22405582.767838817,4.893729107509374e-07,1.958399230426751e-06,2.2803479465489393e-06,9.125620902828269e-06,36401200.181341775,145594417.23215017,7.425860263995734e-07,1.7400953621028507e-06,2.0541228264285076e-07,3.473366563475683e-07,8.222516897009777e-09,1.9356068828100217e-09
5598799.818655412,22405582.767838538,4.614399445762791e-07,1.846615561453238e-06,2.150187734044233e-06,8.604738658630792e-06,36401200.181342006,145594417.2321511,7.001998831197908e-07,1.6407722820602836e-06,1.9368753409889127e-07,3.2751099206216803e-07,7.753183018266395e-09,1.8251241805656538e-09
5598799.818655346,22405582.767838273,4.3510136702055226e-07,1.7412124038969286e-06,2.0274569495550654e-06,8.11358790505836e-06,36401200.18134222,145594417.23215196,6.602331028173663e-07,1.5471184741915494e-06,1.8263202366652067e-07,3.0881695887978126e-07,7.3106382957503925e-09,1.7209477317261584e-09
5598799.818655283,22405582.767838024,4.1026617181352106e-07,1.641825563897316e-06,1.911731528003669e-06,7.650471595331911e-06,36401200.18134242,145594417.23215276,6.225475904274762e-07,1.4588103415351023e-06,1.7220755183580154e-07,2.911899643140918e-07,6.893353628487224e-09,1.6227175810116722e-09
5598799.8186552245,22405582.76783779,3.8684854724110986e-07,1.54811163545232e-06,1.8026116095660065e-06,7.213789548578183e-06,36401200.18134262,145594417.23215353,5.870131332274842e-07,1.3755427577531302e-06,1.6237809949048066e-07,2.74569102759831e-07,6.499887195212475e-09,1.5300943190663822e-09
5598799.81865517,22405582.76783757,3.647675796448036e-07,1.459746813866001e-06,1.6997201580576277e-06,6.8020329208108285e-06,36401200.181342795,145594417.23215425,5.535069509199368e-07,1.297028012844958e-06,1.531097034530789e-07,2.588969450489239e-07,6.128879472524423e-09,1.4427579097156367e-09
5598799.818655117,22405582.76783736,3.439469738450359e-07,1.376425776923611e-06,1.6027016581808257e-06,6.413778991502946e-06,36401200.18134297,145594417.23215494,5.219132713964152e-07,1.2229948190381814e-06,1.443703391337552e-07,2.4411934001858134e-07,5.779048537395935e-09,1.3604065841621658e-09
5598799.818655068,22405582.767837163,3.243147895225592e-07,1.2978606299281695e-06,1.5112208871317501e-06,6.047686247737374e-06,36401200.18134313,145594417.2321556,4.921229307164058e-07,1.1531873734226413e-06,1.3612980987746788e-07,2.3018522740570652e-07,5.449185637814808e-09,1.2827557983005894e-09
5598799.8186550215,22405582.767836977,3.058031926469294e-07,1.223779910953403e-06,1.424961756323087e-06,5.70248974894927e-06,36401200.18134328,145594417.2321562,4.640329959190167e-07,1.0873644740884068e-06,1.2835964262710022e-07,2.170464614211204e-07,5.138151016247951e-09,1.2095372495474748e-09
5598799.818654978,22405582.7678368,2.883482210932293e-07,1.1539276528759534e-06,1.3436262192201643e-06,5.376996756245024e-06,36401200.18134342,145594417.23215675,4.37546409364262e-07,1.0252986867138076e-06,1.2103298954204114e-07,2.0465764439401168e-07,4.8448699714984965e-09,1.1404979497898543e-09
5598799.818654937,22405582.767836638,2.7188956363717904e-07,1.088062498945946e-06,1.2669332415167937e-06,5.070082611195712e-06,36401200.181343555,145594417.2321573,4.1257165337502623e-07,9.667755587238725e-07,1.1412453523228853e-07,1.929759699118118e-07,4.568329145348559e-09,1.075399351249005e-09
5598799.818654898,22405582.76783648,2.563703515650073e-07,1.0259568688399943e-06,1.1946178300925503e-06,4.7806868498653296e-06,36401200.18134368,145594417.2321578,3.890224340209633e-07,9.115928783038965e-07,1.0761040928754661e-07,1.8196107491350457e-07,4.307573021157099e-09,1.0140165222391423e-09
5598799.818654861,22405582.767836336,2.417369621780433e-07,9.673961723151502e-07,1.1264301173962967e-06,4.507809538646795e-06,36401200.1813438,145594417.23215827,3.668173829517264e-07,8.595599757078475e-07,1.0146810379908366e-07,1.7157490022531686e-07,4.061700622314671e-09,9.56137369973066e-10
5598799.818654827,22405582.7678362,2.2793883351309073e-07,9.121780677467812e-07,1.0621344980922757e-06,4.250507819245146e-06,36401200.18134391,145594417.23215872,3.4587977624928905e-07,8.104970644474617e-07,9.567639558936791e-08,1.6178155905690622e-07,3.8298623991474094e-09,9.015619077293591e-10
5598799.818654794,22405582.767836068,2.1492828963839613e-07,8.601117629884388e-07,1.0015088149856663e-06,4.007892650869987e-06,36401200.18134402,145594417.23215914,3.261372693279227e-07,7.642346200856716e-07,9.021527288076581e-08,1.5254721300366816e-07,3.611257293513738e-09,8.501015638490292e-10
5598799.8186547635,22405582.767835945,2.0266037592156637e-07,8.110173561380181e-07,9.443435914147789e-07,3.779125738380676e-06,36401200.181344114,145594417.23215953,3.075216469658452e-07,7.206127944879475e-07,8.506586614992505e-08,1.4383995512671988e-07,3.405129970951266e-09,8.015785301739974e-10
5598799.818654735,22405582.76783583,1.9109270370024562e-07,7.647252139323922e-07,8.904413074576142e-07,3.563416635770212e-06,36401200.18134421,145594417.2321599,2.899685876048384e-07,6.794808635076454e-07,8.02103829289272e-08,1.3562969970657347e-07,3.2107682108102484e-09,7.558251476761353e-10
5598799.818654708,22405582.76783572,1.801853038188504e-07,7.210753856227235e-07,8.39615717451902e-07,3.3600200149796694e-06,36401200.1813443,145594417.23216027,2.734174411034311e-07,6.406967061969791e-07,7.563204632793186e-08,1.2788807828957024e-07,3.027500445355889e-09,7.126833271540424e-10
5598799.818654682,22405582.767835617,1.6990048852529627e-07,6.799170503052449e-07,7.916912064704819e-07,3.1682330906062473e-06,36401200.18134438,145594417.2321606,2.5781101917573096e-07,6.041263137441609e-07,7.1315037066893e-08,1.205883416678911e-07,2.8546934393364674e-09,6.720040029959339e-10
5598799.818654657,22405582.76783552,1.6020272125053547e-07,6.411079957979039e-07,7.465021835284929e-07,2.9873931916066716e-06,36401200.181344464,145594417.23216093,2.4309539779181924e-07,5.696433264399697e-07,6.724443881605284e-08,1.1370526745445974e-07,2.6917501019996388e-09,6.336466181212495e-10
5598799.818654634,22405582.767835427,1.510584938209613e-07,6.045141272622598e-07,7.038925094257507e-07,2.816875471605585e-06,36401200.18134454,145594417.23216122,2.2921973085695343e-07,5.371285970738507e-07,6.340618665635109e-08,1.0721507293338718e-07,2.5381074239968765e-09,5.974786383213344e-10
5598799.818654613,22405582.76783534,1.4243621067941835e-07,5.700090038728019e-07,6.637149572473679e-07,2.6560907498974785e-06,36401200.181344606,145594417.2321615,2.1613607452579348e-07,5.064697792509732e-07,5.978701848166774e-08,1.0109533288483463e-07,2.393234532047553e-09,5.63375094321117e-10
5598799.818654592,22405582.76783526,1.3430607971477352e-07,5.374734019327661e-07,6.258307036585147e-07,2.504483475682291e-06,36401200.18134467,145594417.23216176,2.0379922154461407e-07,4.77560939207781e-07,5.6374429174982045e-08,9.532490210035921e-08,2.256630854641051e-09,5.312181499794957e-10
5598799.818654573,22405582.76783518,1.266400093228369e-07,5.067949029269091e-07,5.90108849235618e-07,2.3615298085006154e-06,36401200.18134473,145594417.232162,1.9216654504911446e-07,4.503021897847614e-07,5.315662740011528e-08,8.988384232101406e-08,2.1278243924389504e-09,5.008966951364583e-10
5598799.818654555,22405582.76783511,1.194115113429529e-07,4.778675050878594e-07,5.564259661766236e-07,2.2267358082359356e-06,36401200.18134479,145594417.23216224,1.8119785127810902e-07,4.245993452917211e-07,5.012249485976181e-08,8.475335334575606e-08,2.0063700874011012e-09,4.723059617001231e-10
5598799.818654538,22405582.767835043,1.1259560953488367e-07,4.5059125713391296e-07,5.246656718275517e-07,2.099635728429914e-06,36401200.181344844,145594417.23216245,1.708552406941879e-07,4.003635960730399e-07,4.7261547879035216e-08,7.991570807212357e-08,1.8918482850005202e-09,4.4534716164718717e-10
5598799.818654522,22405582.76783498,1.061687532797496e-07,4.2487191291274573e-07,4.947182265517733e-07,1.979790407013705e-06,36401200.1813449,145594417.23216265,1.6110297703148536e-07,3.7751120164844884e-07,4.4563901181791e-08,7.5354191244734e-08,1.783863284213676e-09,4.199271456859828e-10
5598799.818654507,22405582.76783492,1.001087362068428e-07,4.0062060575775337e-07,4.6648015455254586e-07,1.8667857488948838e-06,36401200.18134495,145594417.23216286,1.519073638180841e-07,3.55963201369056e-07,4.202023373456426e-08,7.105304169996193e-08,1.6820419702760296e-09,3.959580814027411e-10
5598799.818654493,22405582.767834865,9.439461946514884e-08,3.777535414318382e-07,4.3985388633865984e-07,1.7602312951569461e-06,36401200.18134499,145594417.23216304,1.4323662794640952e-07,3.3564514158886675e-07,3.962175654010468e-08,6.699739790723919e-08,1.5860325254786563e-09,3.733571497789768e-10
